City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nyirbator,47.8333,22.1333,33.42,88,100,6.33,HU,1740542963
1,yanbu,24.0891,38.0637,68.04,40,40,6.91,SA,1740542965
2,bandon,51.7469,-8.7425,42.39,84,7,11.9,IE,1740542967
3,puerto natales,-51.7236,-72.4875,41.92,70,30,12.1,CL,1740542670
4,gulf shores,30.246,-87.7008,60.03,85,0,5.75,US,1740542763
5,irece,-11.3042,-41.8558,71.76,77,94,16.35,BR,1740542738
6,ilebo,-4.3167,20.5833,69.96,99,100,1.95,CD,1740542977
7,alofi,-19.0595,-169.9187,85.89,74,20,10.36,NU,1740542979
8,howard springs,-12.497,131.047,93.97,63,20,6.51,AU,1740542982
9,whakatane,-37.9585,176.9854,71.62,55,66,6.33,NZ,1740542984
10,ushuaia,-54.8,-68.3,36.7,99,99,1.92,AR,1740542914
11,punta arenas,-53.15,-70.9167,42.91,75,40,19.57,CL,1740542848
12,luderitz,-26.6481,15.1594,59.29,94,34,6.82,NA,1740542990
13,iqaluit,63.7506,-68.5145,-7.31,63,100,18.99,CA,1740542992
14,san luis de la loma,17.2706,-100.8939,75.15,83,0,3.91,MX,1740542994
15,lazaro cardenas,17.9583,-102.2,75.11,80,0,4.12,MX,1740542996
16,hawaiian paradise park,19.5933,-154.9731,74.88,81,40,5.75,US,1740542998
17,lihue,21.9789,-159.3672,78.75,78,0,4.61,US,1740543000
18,port-aux-francais,-49.35,70.2167,42.46,99,100,15.97,TF,1740543003
19,tolanaro,-25.0319,46.9987,76.86,86,96,6.78,MG,1740543005
20,kingston,17.997,-76.7936,76.15,83,75,9.22,JM,1740542777
21,port augusta,-32.5,137.7667,91.26,25,2,17.47,AU,1740543011
22,west island,-12.1568,96.8225,87.78,79,46,4.61,CC,1740543013
23,carira,-10.3608,-37.7011,72.3,83,14,5.99,BR,1740543015
24,thinadhoo,0.5333,72.9333,82.13,72,100,10.6,MV,1740543017
25,wailua homesteads,22.0669,-159.378,78.13,74,0,4.61,US,1740543020
26,saipan,15.1355,145.701,84.9,75,20,21.85,MP,1740543022
27,malinyi,-8.9333,36.1333,68.86,90,93,1.5,TZ,1740543024
28,acapulco de juarez,16.8634,-99.8901,80.42,74,20,2.3,MX,1740542813
29,nuuk,64.1835,-51.7216,29.01,80,75,50.0,GL,1740543028
30,st. john's,47.5649,-52.7093,39.15,95,100,14.97,CA,1740542956
31,qaqortoq,60.7167,-46.0333,28.8,97,100,13.71,GL,1740543032
32,atafu village,-8.5421,-172.5159,81.68,78,96,15.97,TK,1740543034
33,bilibino,68.0546,166.4372,-18.71,88,14,1.5,RU,1740543037
34,afaahiti,-17.75,-149.2833,80.47,78,34,12.66,PF,1740543039
35,bethel,41.3712,-73.414,41.94,81,40,1.99,US,1740542960
36,tiksi,71.6872,128.8694,-8.7,100,100,8.9,RU,1740543043
